a,w,x1_start,x2_start,x1_opt,x2_opt,f1_opt,f2_opt,f_opt,f_calls
1,0,-9.33060104,-3.400715847,-2.999999893,-2.999999793,71.99999623,5.433704077e-14,5.433704077e-14,191
1,0.01,3.812714086,-1.550266357,-2.940000113,-2.940000408,70.56720618,0.007199937531,0.7128,191
1,0.02,-5.874697229,-4.997430982,-2.880000113,-2.879999518,69.14879566,0.02880008854,1.4112,191
1,0.03,2.731170483,7.272447616,-2.819998667,-2.819997618,67.74475676,0.06480133724,2.0952,305
1,0.04,-3.966887376,-9.501521298,-2.76000064,-2.760000974,66.35521859,0.1151992255,2.7648,191
1,0.05,-2.700145819,5.307619644,-2.699999841,-2.699998535,64.97998149,0.1800009745,3.42,191
1,0.06,-3.642794738,-7.285432144,-2.63999991,-2.640000904,63.61920918,0.2591994141,4.0608,191
1,0.07,-7.86509484,5.213431444,-2.579999751,-2.580001577,62.27281481,0.3527988851,4.6872,191
1,0.08,-8.366554341,1.01912417,-2.519999776,-2.52000037,60.94080161,0.4607998596,5.2992,191
1,0.09,1.293037781,4.865410139,-2.459999907,-2.459998653,59.62318428,0.5832015545,5.8968,191
1,0.1,9.635202996,-5.623004136,-2.40000116,-2.399999606,58.32000827,0.7199990806,6.48,305
1,0.11,-0.9120815857,0.3730804615,-2.340000278,-2.34000025,57.03120564,0.8711993032,7.0488,191
1,0.12,1.476834561,1.104620803,-2.280000086,-2.2800009,55.75681041,1.036798581,7.6032,191
1,0.13,4.570925103,2.577478817,-2.219999968,-2.220000971,54.49680981,1.216798534,8.1432,191
1,0.14,5.922562608,1.674316382,-2.159999845,-2.159999351,53.2511917,1.411201351,8.6688,191
1,0.15,-4.504671234,6.591961568,-2.10000019,-2.100001553,52.02001778,1.619996862,9.18,191
1,0.16,8.273600535,9.308042852,-2.039998094,-2.039998047,50.8031611,1.843207409,9.6768,305
1,0.17,-4.958304798,-7.601096703,-1.979999864,-1.980000994,49.60080855,2.08079825,10.1592,191
1,0.18,-5.689388139,7.772865686,-1.919999699,-1.920001768,48.41281444,2.332796831,10.6272,191
1,0.19,9.671350922,0.343724494,-1.859999987,-1.859999952,47.23919941,2.599200139,11.0808,305
1,0.2,8.271344396,-3.028794906,-1.800000007,-1.800000028,46.08000033,2.879999918,11.52,305
1,0.21,-4.348655871,-5.371450351,-1.740000708,-1.740000389,44.9352104,3.175197235,11.9448,191
1,0.22,-0.3142270494,-2.213750711,-1.680000193,-1.6800001,43.80480274,3.484799227,12.3552,191
1,0.23,9.841981102,1.319218609,-1.619998182,-1.619999476,42.68877836,3.808806463,12.7512,305
1,0.24,8.805373469,1.135018874,-1.559999944,-1.559999976,41.58719927,4.14720023,13.1328,305
1,0.25,-3.815371261,8.440576456,-1.499999818,-1.499998122,40.49998146,4.500006179,13.5,191
1,0.26,5.512014746,5.272547153,-1.44000005,-1.43999901,39.42719165,4.867202933,13.8528,191
1,0.27,-1.186343092,-3.011150701,-1.379999834,-1.380000266,38.36880087,5.248799676,14.1912,191
1,0.28,-3.622832044,-6.615417999,-1.319999909,-1.32000084,37.32480647,5.644797484,14.5152,191
1,0.29,9.566328116,-7.700269445,-1.260000434,-1.259999704,36.29520118,6.055199518,14.8248,305
1,0.3,5.058898383,-4.938343118,-1.199999836,-1.200000613,35.28000377,6.479998383,15.12,191
1,0.31,8.891692124,3.332498918,-1.139999225,-1.139999697,34.27919108,6.91920401,15.4008,305
1,0.32,-5.630300276,-6.066612683,-1.079999945,-1.080000918,33.29280704,7.372796686,15.6672,191
1,0.33,5.731402214,-1.319688406,-1.019999995,-1.020000178,32.32080139,7.840799315,15.9192,191
1,0.34,-8.293747007,5.402753127,-0.9599998381,-0.9600013267,31.36320923,8.323195248,16.1568,191
1,0.35,9.024036089,9.977597389,-0.9000025454,-0.9000025523,30.42003976,8.819978589,16.38,305
1,0.36,-7.626041788,-5.324619792,-0.8399999176,-0.8400009501,29.49120666,9.331196252,16.5888,191
1,0.37,-5.393852962,2.059731163,-0.7799998435,-0.7800006882,28.57680402,9.856797639,16.7832,191
1,0.38,2.461629497,-5.55187187,-0.7199999366,-0.7199990675,27.67679259,10.39680454,16.9632,191
1,0.39,-6.621050228,1.267002957,-0.6600001675,-0.6599996263,26.79119849,10.95120097,17.1288,191
1,0.4,5.583147004,-0.4364214886,-0.5999999774,-0.5999999197,25.91999926,11.52000049,17.28,191
1,0.41,-0.292420597,1.095161741,-0.5400001063,-0.5399996795,25.06319848,12.10320105,17.4168,191
1,0.42,-5.163874335,8.521236311,-0.4800000184,-0.48000183,24.22081287,12.70079068,17.5392,191
1,0.43,8.08401104,1.213293621,-0.420000144,-0.4200005569,23.39280479,13.31279638,17.6472,191
1,0.44,-8.094181697,7.650339155,-0.3600002777,-0.3599985198,22.57919192,13.93920635,17.7408,191
1,0.45,3.513024176,6.964716696,-0.299999934,-0.299998584,21.77999022,14.580008,17.82,191
1,0.46,-7.288003972,2.404716291,-0.2400001236,-0.23999954,20.99519782,15.23520186,17.8848,191
1,0.47,0.2972156044,-2.918304248,-0.1800002535,-0.1799995344,20.22479865,15.9048012,17.9352,191
1,0.48,6.338103607,-3.97138219,-0.1200000298,-0.1200010017,19.46880644,16.58879406,17.9712,191
1,0.49,5.762007346,8.0443566,-0.05999996221,-0.06000151854,18.72720906,17.28719129,17.9928,191
1,0.5,-8.568629063,4.786043425,2.500867282e-07,-6.913783708e-07,18.00000265,17.99999735,18,191
1,0.51,8.02195399,-6.194670851,0.05999972905,0.06000143115,17.28719318,18.7272071,17.9928,191
1,0.52,9.461423633,-7.371898981,0.1199999504,0.1199984993,16.58880893,19.46879033,17.9712,191
1,0.53,5.865060322,1.92305313,0.1800002388,0.1800002674,15.90479715,20.22480322,17.9352,191
1,0.54,-2.923770851,9.244010094,0.2400000371,0.2400018138,15.23518978,20.99521199,17.8848,191
1,0.55,-6.809943922,-7.340623856,0.2999999596,0.2999983479,14.58000914,21.77998883,17.82,191
1,0.56,-1.192411404,2.89763549,0.3600002812,0.3599996791,13.93920021,22.57919973,17.7408,191
1,0.57,3.754537894,3.643714261,0.4199997856,0.4199991665,13.31280541,23.39279283,17.6472,191
1,0.58,1.418871792,1.838548925,0.480000068,0.480000275,12.70079827,24.22080239,17.5392,191
1,0.59,-5.142992127,3.324690104,0.5399998323,0.5400004816,12.10319846,25.06320222,17.4168,191
1,0.6,-0.5111119293,8.370032049,0.5999995879,0.6000013292,11.5199956,25.9200066,17.28,191
1,0.61,0.2894067905,2.200884098,0.6599999664,0.660000289,10.9511988,26.79120187,17.1288,191
1,0.62,0.7747483304,-9.413377614,0.7192698549,0.7199981799,10.40013829,27.67135471,16.96320053,191
1,0.63,9.282579859,-2.887148071,0.7800002516,0.7799994262,9.856801431,28.57679756,16.7832,191
1,0.64,-3.384759805,5.044587196,0.8400001541,0.8400009671,9.331195156,29.49120861,16.5888,191
1,0.65,-4.842791471,-1.953388868,0.9000000572,0.9000007831,8.819996471,30.42000655,16.38,191
1,0.66,-0.1693693782,-6.820837491,0.9600001786,0.9599985081,8.323205358,31.3631896,16.1568,191
1,0.67,1.851940291,-0.7079457541,1.01999988,1.019999741,7.840801503,32.32079695,15.9192,191
1,0.68,-4.192736472,-2.282999396,1.079999888,1.079999193,7.372803527,33.29279251,15.6672,191
1,0.69,-8.784892633,2.883492677,1.140000175,1.1399999,6.919199722,34.27920062,15.4008,191
1,0.7,-3.038989312,-5.594836546,1.199999897,1.199998471,6.480005877,35.27998629,15.12,191
1,0.71,5.542868821,5.768599285,1.259999834,1.25999919,6.055203398,36.29519168,14.8248,191
1,0.72,7.302798944,-0.7025932943,1.320000139,1.319999858,5.644800012,37.32479997,14.5152,191
1,0.73,-0.5876864542,-1.278329273,1.380000296,1.380000388,5.248797784,38.36880599,14.1912,191
1,0.74,-8.86404437,4.269321418,1.439999178,1.440000282,4.867201685,39.4271952,13.8528,305
1,0.75,-7.953639179,0.6248437011,1.500000016,1.499999984,4.499999998,40.5,13.5,191
1,0.76,2.639353467,2.335767612,1.560000054,1.560000054,4.147199686,41.58720099,13.1328,191
1,0.77,-7.174272201,-6.585898211,1.619999869,1.61999842,3.808804721,42.6887842,12.7512,191
1,0.78,2.922389998,-7.891692351,1.680000351,1.679998332,3.484803475,43.80478768,12.3552,191
1,0.79,0.5269537263,9.537630202,1.739999743,1.74000137,3.175197195,44.93521055,11.9448,191
1,0.8,7.152894846,5.684162255,1.799999717,1.799999239,2.880002505,46.07998998,11.52,191
1,0.81,-2.415758675,-3.016474542,1.859999908,1.860000955,2.599198032,47.23920839,11.0808,191
1,0.82,8.863324765,9.436181616,1.920000137,1.920001517,2.332796427,48.41281628,10.6272,191
1,0.83,6.275579713,-5.329411717,1.979999792,1.980001068,2.080798246,49.60080856,10.1592,191
1,0.84,-2.84681779,7.49068708,2.040000307,2.039998772,1.843201767,50.80319072,9.6768,191
1,0.85,7.55408096,4.114192898,2.100000265,2.100000269,1.619999038,52.02000545,9.18,191
1,0.86,-8.104149475,3.096949772,2.159998925,2.160000087,1.41120166,53.2511898,8.6688,305
1,0.87,-0.1172078169,9.198649469,2.219999938,2.219998577,1.216802316,54.4967845,8.1432,191
1,0.88,-7.605643523,9.295105729,2.280000245,2.279998775,1.036801411,55.75678966,7.6032,191
1,0.89,-2.079679804,-6.469687892,2.340000026,2.339998541,0.8712018905,57.0311847,7.0488,191
1,0.9,3.564427138,-0.03331898248,2.399999877,2.400000364,0.7199997108,58.3200026,6.48,191
1,0.91,4.155155809,-3.796219404,2.460000168,2.460000905,0.5831988413,59.62321172,5.8968,191
1,0.92,-7.69755137,6.980883608,2.520001955,2.519999124,0.4607989645,60.94081191,5.2992,305
1,0.93,-0.3821176059,5.224838627,2.57999999,2.580000442,0.3527996365,62.27280483,4.6872,191
1,0.94,9.089191258,-9.855163889,2.640001101,2.639998296,0.2592004345,63.61919319,4.0608,305
1,0.95,4.76246882,6.242086103,2.700000045,2.700000464,0.179999694,64.98000581,3.42,191
1,0.96,5.828998366,-7.653289855,2.75999963,2.760001202,0.1151996004,66.35520959,2.7648,419
1,0.97,-6.774388448,4.692323122,2.819999865,2.82000064,0.06479981849,67.74480587,2.0952,191
1,0.98,-8.217108249,9.501191266,2.8800003,2.879999801,0.02879997563,69.14880119,1.4112,305
1,0.99,9.362911405,-1.06392603,2.939999915,2.939999539,0.007200065498,70.56719352,0.7128,191
1,1,6.991878346,6.916992356,3.000000175,3.000001006,1.041908444e-12,72.00001417,1.041908444e-12,191
10,0,-9.33060104,-3.400715847,-2.999999893,-2.999999793,719.9999623,5.433704077e-15,5.433704077e-15,191
10,0.01,3.812714086,-1.550266357,0.01507527046,0.01507571552,178.1954863,1.818136046,3.581909548,191
10,0.02,-5.874697229,-4.997430982,1.026845455,1.026846649,77.86673004,3.243097826,4.73557047,191
10,0.03,2.731170483,7.272447616,1.534004993,1.534005948,42.98279921,4.111441121,5.277581864,191
10,0.04,-3.966887376,-9.501521298,1.838708526,1.838707696,26.97197701,4.682619237,5.574193548,305
10,0.05,-2.700145819,5.307619644,2.042016766,2.042017646,18.35462068,5.084387501,5.74789916,191
10,0.06,-3.642794738,-7.285432144,2.18731994,2.187317977,13.20900951,5.381655595,5.85129683,191
10,0.07,-7.86509484,5.213431444,2.296342334,2.296343183,9.902670267,5.610249323,5.910718789,305
10,0.08,-8.366554341,1.01912417,2.381167657,2.381166147,7.659088068,5.791391445,5.940807175,305
10,0.09,1.293037781,4.865410139,2.449041452,2.449041137,6.071109902,5.938410206,5.950353179,191
10,0.1,9.635202996,-5.623004136,2.50458743,2.504585515,4.908691262,6.060094447,5.944954128,191
10,0.11,-0.9120815857,0.3730804615,2.550883039,2.550882802,4.034123023,6.162460239,5.928343146,191
10,0.12,1.476834561,1.104620803,2.590062089,2.590062473,3.36097867,6.249759261,5.90310559,191
10,0.13,4.570925103,2.577478817,2.623648165,2.62364813,2.832814337,6.325083698,5.871088681,191
10,0.14,5.922562608,1.674316382,2.65275908,2.652758833,2.411526844,6.390736764,5.833647376,191
10,0.15,-4.504671234,6.591961568,2.678233445,2.678232453,2.070680703,6.448465884,5.791798107,191
10,0.16,8.273600535,9.308042852,2.700712594,2.700711603,1.791464963,6.499623685,5.74631829,191
10,0.17,-4.958304798,-7.601096703,2.720694884,2.72069473,1.560227813,6.545269816,5.697812675,305
10,0.18,-5.689388139,7.772865686,2.738576116,2.738575016,1.366854694,6.586249905,5.646758767,191
10,0.19,9.671350922,0.343724494,2.75466959,2.754668927,1.203743454,6.623243655,5.593538617,191
10,0.2,8.271344396,-3.028794906,2.769230652,2.769231564,1.065085629,6.656805516,5.538461538,191
